code,name,:LABEL
E01000661,Bromley 026A,LSOA
E01000662,Bromley 026B,LSOA
E01000663,Bromley 026C,LSOA
E01000664,Bromley 026D,LSOA
E01000665,Bromley 033A,LSOA
E01000666,Bromley 033B,LSOA
E01000667,Bromley 033C,LSOA
E01000668,Bromley 020B,LSOA
E01000669,Bromley 020C,LSOA
E01000670,Bromley 018A,LSOA
E01000671,Bromley 020D,LSOA
E01000672,Bromley 011A,LSOA
E01000673,Bromley 011B,LSOA
E01000674,Bromley 008A,LSOA
E01000676,Bromley 008B,LSOA
E01000677,Bromley 018C,LSOA
E01000678,Bromley 016E,LSOA
E01000679,Bromley 020E,LSOA
E01000680,Bromley 037A,LSOA
E01000681,Bromley 035A,LSOA
E01000682,Bromley 035B,LSOA
E01000683,Bromley 035C,LSOA
E01000684,Bromley 035D,LSOA
E01000685,Bromley 037B,LSOA
E01000686,Bromley 037C,LSOA
E01000687,Bromley 037D,LSOA
E01000688,Bromley 037E,LSOA
E01000689,Bromley 002A,LSOA
E01000690,Bromley 002B,LSOA
E01000691,Bromley 002C,LSOA
E01000692,Bromley 002D,LSOA
E01000693,Bromley 010A,LSOA
E01000694,Bromley 007C,LSOA
E01000695,Bromley 007D,LSOA
E01000696,Bromley 007E,LSOA
E01000697,Bromley 007F,LSOA
E01000698,Bromley 010B,LSOA
E01000699,Bromley 015A,LSOA
E01000700,Bromley 013A,LSOA
E01000701,Bromley 015B,LSOA
E01000702,Bromley 013B,LSOA
E01000703,Bromley 013C,LSOA
E01000704,Bromley 015C,LSOA
E01000705,Bromley 015D,LSOA
E01000706,Bromley 013D,LSOA
E01000707,Bromley 041A,LSOA
E01000708,Bromley 041B,LSOA
E01000709,Bromley 006A,LSOA
E01000710,Bromley 006B,LSOA
E01000711,Bromley 006C,LSOA
E01000712,Bromley 012A,LSOA
E01000713,Bromley 012B,LSOA
E01000714,Bromley 006D,LSOA
E01000715,Bromley 012C,LSOA
E01000716,Bromley 011C,LSOA
E01000717,Bromley 011D,LSOA
E01000718,Bromley 006E,LSOA
E01000719,Bromley 019A,LSOA
E01000720,Bromley 019B,LSOA
E01000721,Bromley 019C,LSOA
E01000722,Bromley 023A,LSOA
E01000723,Bromley 029A,LSOA
E01000724,Bromley 019D,LSOA
E01000725,Bromley 023B,LSOA
E01000726,Bromley 029B,LSOA
E01000727,Bromley 028A,LSOA
E01000728,Bromley 019E,LSOA
E01000729,Bromley 014A,LSOA
E01000730,Bromley 014B,LSOA
E01000731,Bromley 023C,LSOA
E01000732,Bromley 023D,LSOA
E01000733,Bromley 023E,LSOA
E01000734,Bromley 028B,LSOA
E01000735,Bromley 014C,LSOA
E01000736,Bromley 010C,LSOA
E01000737,Bromley 010D,LSOA
E01000738,Bromley 014D,LSOA
E01000739,Bromley 014E,LSOA
E01000741,Bromley 005B,LSOA
E01000742,Bromley 005C,LSOA
E01000743,Bromley 009A,LSOA
E01000744,Bromley 009B,LSOA
E01000745,Bromley 005D,LSOA
E01000746,Bromley 005E,LSOA
E01000747,Bromley 042B,LSOA
E01000748,Bromley 042C,LSOA
E01000749,Bromley 036A,LSOA
E01000750,Bromley 036B,LSOA
E01000751,Bromley 036C,LSOA
E01000752,Bromley 036D,LSOA
E01000753,Bromley 031A,LSOA
E01000754,Bromley 031B,LSOA
E01000755,Bromley 031C,LSOA
E01000756,Bromley 033D,LSOA
E01000757,Bromley 031D,LSOA
E01000758,Bromley 031E,LSOA
E01000759,Bromley 034A,LSOA
E01000760,Bromley 034B,LSOA
E01000761,Bromley 034C,LSOA
E01000762,Bromley 018D,LSOA
E01000763,Bromley 027A,LSOA
E01000764,Bromley 027B,LSOA
E01000765,Bromley 034D,LSOA
E01000766,Bromley 027C,LSOA
E01000767,Bromley 027D,LSOA
E01000768,Bromley 034E,LSOA
E01000769,Bromley 024A,LSOA
E01000770,Bromley 012D,LSOA
E01000771,Bromley 041C,LSOA
E01000772,Bromley 012E,LSOA
E01000773,Bromley 024B,LSOA
E01000774,Bromley 041D,LSOA
E01000775,Bromley 024C,LSOA
E01000777,Bromley 024D,LSOA
E01000778,Bromley 024E,LSOA
E01000779,Bromley 001A,LSOA
E01000780,Bromley 001B,LSOA
E01000781,Bromley 001C,LSOA
E01000782,Bromley 001D,LSOA
E01000783,Bromley 001E,LSOA
E01000784,Bromley 002E,LSOA
E01000785,Bromley 001F,LSOA
E01000786,Bromley 032A,LSOA
E01000787,Bromley 029C,LSOA
E01000788,Bromley 029D,LSOA
E01000789,Bromley 032B,LSOA
E01000790,Bromley 028C,LSOA
E01000791,Bromley 029E,LSOA
